Linux 4.18.0-348.el8.x86_64 (localhost.localdomain) 	11/29/22 	_x86_64_	(64 CPU)

23:36:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:36:08      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:36:08      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
